Org,Role,Core Domain,Tech Stack / Tools,Business Skills,Key Impact / Expanded Description,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
Code:You,Technical Project Lead,Agile Portfolio Management,"Monday.com, Obsidian, Kanban","High-Level Strategy, Workflow Visualization","Directed portfolio-level strategy for 20 concurrent projects using Monday.com and Obsidian, utilizing Kanban boards to map workflows and ensure on-time delivery across the board.",,,,,,,,,,,,,,,,,,,,,
Code:You,Scrum / Project Manager,Agile Team Coordination,"Jira, Trello, GitHub Projects, Slack","Sprint Planning, Cross-functional Communication","Facilitated weekly standups and sprint retrospectives, driving team alignment, unblocking developers, and managing task execution across Jira, Trello, and GitHub Projects.",,,,,,,,,,,,,,,,,,,,,
Code:You,Project Manager,Performance Analytics,Spreadsheets,"Data Analysis, Issue Resolution","Engineered tracking systems to monitor individual contributor performance, identify operational bottlenecks, and track issue resolution metrics.",,,,,,,,,,,,,,,,,,,,,
Code:You,Product Manager,Client Discovery,MVP Frameworks,"Needs Analysis, Pain Point Extraction","Conducted deep-dive discovery sessions with stakeholders to understand business models, identify operational bottlenecks, and align technical capabilities with client needs.",,,,,,,,,,,,,,,,,,,,,
Code:You,Product Manager,Solution Architecture,Prototyping,"Ideation, Product Strategy",Translated client pain points into actionable technical solutions by architecting Minimum Viable Product (MVP) concepts tailored to nonprofit workflows.,,,,,,,,,,,,,,,,,,,,,
Code:You,Project Manager,Stakeholder Alignment,Presentations,"Scope Negotiation, Expectation Setting","Led iterative client presentations to showcase past capabilities, pitch MVP solutions, and strictly lock down project scope prior to development.",,,,,,,,,,,,,,,,,,,,,
Code:You,Frontend Engineer,UI Development,"React, Vue, JavaScript, HTML, CSS",User-Centric Development,"Engineered dynamic, responsive user interfaces across varied projects, leveraging both vanilla technologies and modern component-based frameworks (React, Vue).",,,,,,,,,,,,,,,,,,,,,
Code:You,Backend Engineer,API & Architecture,"Node.js, FastAPI, C#","System Architecture, Scalability","Architected robust server-side logic and RESTful APIs to power web applications, utilizing Node.js and FastAPI to ensure optimal data flow.",,,,,,,,,,,,,,,,,,,,,
Code:You,Database Administrator,Data Management,"MySQL, MongoDB, SQLite, DuckDB","Schema Design, Data Modeling",Designed and managed flexible data storage solutions across both relational (MySQL) and NoSQL (MongoDB) databases to fit distinct client MVP requirements.,,,,,,,,,,,,,,,,,,,,,
Code:You,Data Analyst / Engineer,Analytics & Viz,"Python, Pandas, Tableau, Streamlit, Plotly, Seaborn","Data Storytelling, Automation","Developed data pipelines and interactive dashboards to translate raw data into actionable insights, utilizing Python data science libraries and Tableau.",,,,,,,,,,,,,,,,,,,,,
