Name: Danny Morton,"Address 1307 donard park ave louisville ky, 40218 ",linkedin: https://www.linkedin.com/in/dmorton714/,portfolio site: https://dmorton714.github.io/personalSite/,Associates in applied science web development and graphic design ,Bachelors in political science western Kentucky University,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Company,Role,Project / Initiative,Experience Unit (Responsibility / Description),Role Fit Tags,Skill Tags,Impact / Outcome,Impact Tag
Code:You,Training Coordinator / PM,Program Management,"Managed a cohort of up to 54 mentors and over 600 students, coordinating training sessions and tracking progress.","Management, Education","Leadership, Tracking","Maintained a steady, motivated community and contributed to retention.",Leadership
Code:You,Technical Project Lead,Curriculum Development,"Spearheaded curriculum development for C#, JavaScript, AI, AWS, and Python.","Education, Engineering","C#, JS, Python, AI, AWS",Improved student retention and course completion by ~10%.,Education
Code:You,Technical Project Lead,Workflow Automation,"Engineered custom automation workflows via Python and Zapier, integrating third-party APIs.","Full Stack, Automation","Python, Zapier, APIs",Reduced manual data entry workloads by 10+ hours per week.,Automation
Code:You,Full Stack Developer,Web App Delivery,Led full-stack delivery of web applications for up to 20 nonprofit clients simultaneously.,"Full Stack, Project Mgmt","SDLC, Cloud Deployment",Managed complete SDLC from database schema design to cloud deployment.,Delivery
Code:You,Mentor,Student Support,"Hosted office hours, live demos, and talks on JavaScript, Python, C#, and Docker.","Education, Support","Mentorship, Docker, JS",Helped students troubleshoot real-time issues and build projects.,Mentorship
Code:You,Technical Project Lead,Technical SEO,Architected technical SEO migrations for legacy sites.,"Full Stack, SEO",Technical SEO,Achieved a 30% average increase in indexable pages and organic visibility.,Growth
Best One,IT Manager,Business Intelligence,Designed and implemented real-time BI dashboards using SQL and Python to track sales and inventory.,"IT Management, Data","SQL, Python, BI",Averted supply chain issues and contributed to 15%+ business growth and $150k+ quarterly savings.,Growth & Savings
Best One,IT Manager,SaaS Migration,Led end-to-end cloud migration of a self-hosted SaaS (Maddenco).,IT Management,"Cloud Migration, SaaS",Reduced annual costs by $20K and eliminated hardware/licensing overhead.,Cost Savings
Best One,IT Manager,RMM Automation,Automated deployment and update processes using custom scripts in an RMM platform.,"IT Support, Automation","RMM, Scripting",Saved over 20 hours of manual IT labor monthly.,Automation
Best One,IT Manager,Telecom Optimization,Orchestrated cellular migration of 200+ field devices to a new provider via DEP.,IT Management,"MDM, Telecom, DEP",Cut telecom costs by $12K/year and enhanced sales productivity.,Cost Savings
Best One,IT Manager,ISP Negotiations,Negotiated fiber connectivity contracts with ISPs across multiple sites.,IT Management,"Contracts, Networking",Improved network speed/stability and reduced expenses by $5K annually.,Operations
Best One,IT Manager,Cloud SQL Migration,Migrated on-premise SQL server to a cloud-hosted environment.,"IT Management, Data","SQL, Cloud Infrastructure",Modernized infrastructure and eliminated end-of-life systems.,Modernization
Best One,IT Manager,VoIP Transition,Oversaw transition to a hosted VoIP solution.,IT Management,"VoIP, Telecom",Streamlined telecom operations and saved $12K annually.,Cost Savings
Best One,IT Manager,Vendor Negotiation,Negotiated a new credit card processing agreement based on transaction patterns.,IT Management,Vendor Management,Saved the company over $187K annually through a custom fee model.,Cost Savings
